clusterID,spread,centroidLat,centroidLon
c000003,0.0,47.500706,-102.65468100000001
c000018,0.0,33.44747,-88.08029
c000029,0.0,32.374436100000004,-101.6068695
c000032,0.0,32.36427,-93.59994
c000036,0.0,31.6615,-94.033511
c000038,0.0,32.103513,-101.909314
c000041,0.0,32.996039,-102.67681400000001
c000042,0.0,35.287802,-119.53835600000001
c000045,0.0,27.904428000000003,-99.49534399999999
c000051,0.0,35.101909014,-96.9504192725
c000055,0.0,31.213155600000004,-100.95066
c000059,0.0,30.079990000000002,-96.72418
c000065,0.0,36.1008444444444,-100.58485555555599
c000070,0.0,33.44815,-102.30508
c000073,0.0,32.838722,-98.616051
c000087,0.0,33.14634,-98.11756
c000090,0.0,40.205187,-108.31348999999999
c000095,0.0,32.3705451,-102.1353155
c000097,0.0,28.616160999999998,-99.345086
c000098,0.0,43.3884,-105.80965
c000103,0.0,31.43167,-101.20929
c000109,0.0,34.8842403,-97.501567603
c000112,0.0,33.1081,-97.5325
c000114,0.0,36.100233168,-98.97560555
c000121,0.0,31.450011,-103.243914
c000129,0.0,35.3772916666,-99.88908888799999
c000133,0.0,32.23790027,-101.73523202
c000134,0.0,32.08967129,-101.78657106
c000136,0.0,28.651320000000002,-99.888254
c000144,0.0,36.24754,-97.16006
c000152,0.0,36.129191981,-98.989594888
c000153,0.0,32.967764,-102.806211
c000157,0.0,36.570333000000005,-95.993447
c000165,0.0,36.129751,-100.40373220000001
c000166,0.0,31.533039000000002,-102.817136
c000167,0.0,36.433811,-100.980733
c000175,0.0,32.93182,-98.18993
c000186,0.0,40.144224,-104.91746699999999
c000190,0.0,31.652264000000002,-102.071904
c000191,0.0,33.0886,-98.08357
c000192,0.0,32.4744805555556,-102.389438888889
c000193,0.0,31.762593,-102.50766800000001
c000201,0.0,37.1969592,-97.94113616
c000209,0.0,33.0509,-98.2438
c000224,0.0,35.767763,-98.246082
c000228,0.0,34.928301,-97.777005
c000231,0.0,31.697089000000002,-101.99609
c000248,0.0,35.895909,-101.804775
c000249,0.0,48.061157,-104.133517
c000250,0.0,31.58395833,-101.374
c000256,0.0,37.9705,-98.8448
c000258,0.0,36.144784,-98.872887
c000263,0.0,31.790339000000003,-101.47184
c000265,0.0,28.53347,-98.51846
c000268,0.0,31.288103000000003,-103.03966700000001
c000274,0.0,37.116778000000004,-104.970376
c000278,0.0,32.001202,-103.686944
c000291,0.0,36.288667,-100.896434
c000292,0.0,35.447624,-100.11362199999999
c000294,0.0,31.9659834,-101.6209897
c000302,0.0,31.2530809,-101.03538449999999
c000305,0.0,40.25772,-110.11016000000001
c000312,0.0,31.375189000000002,-102.070015
c000315,0.0,39.6266001,-103.36697
c000331,0.0,41.878561,-76.348016
c000336,0.0,31.660109999999996,-101.40326
c000338,0.0,40.234651,-104.413907
c000346,0.0,35.984763,-97.73738748299999
c000349,0.0,35.61313411,-92.29826107
c000350,0.0,31.84514,-102.64706
c000357,0.0,43.37238,-106.24078
c000362,0.0,36.273181,-100.135503
c000365,0.0,36.0236778,-100.3534
c000366,0.0,35.72585314,-98.50592639
c000373,0.0,31.5624755,-102.98067569999999
c000380,0.0,33.03682,-102.86984
c000389,0.0,31.3394805,-101.92975279999999
c000391,0.0,35.2621,-97.934
c000393,0.0,32.146774,-102.531121
c000398,0.0,48.576156,-102.628961
c000401,0.0,40.87945,-103.34614
c000402,0.0,36.274314000000004,-98.87319699999999
c000406,0.0,31.437963,-103.514972
c000411,0.0,32.397033,-101.465911
c000415,0.0,31.42282,-103.58586156
c000424,0.0,36.2181,-96.96467
c000440,0.0,40.22098,-110.32232169999999
c000441,0.0,31.965058000000003,-101.9837181
c000442,0.0,36.636508,-108.124627
c000445,0.0,31.732409999999998,-102.05388
c000448,0.0,40.569507,-104.714141
c000452,0.0,35.500840000000004,-100.02216999999999
c000456,0.0,32.2039,-102.80726
c000459,0.0,33.651395,-102.473538
c000485,0.0,33.7571,-98.664
c000487,0.0,31.658811,-101.463053
c000491,0.0,32.153134,-93.523393
c000492,0.0,31.904849,-104.186235
c000506,0.0,35.931306,-100.891178
c000507,0.0,30.573702,-93.6569
c000508,0.0,32.242636,-101.592155
c000511,0.0,27.816792,-99.497864
c000513,0.0,36.483616,-107.381996
c000517,0.0,47.327870000000004,-102.92241
c000518,0.0,31.322020000000002,-101.24434000000001
c000519,0.0,32.39275,-102.46853
c000520,0.0,31.723633000000003,-102.930596
c000523,0.0,33.219429999999996,-97.58166
c000528,0.0,32.5524305,-102.6819084
c000530,0.0,32.145783,-101.488213
c000538,0.0,31.154397999999997,-103.577334
c000545,0.0,36.0401,-100.2754
c000548,0.0,32.23737454,-101.9286392
c000554,0.0,32.68243,-100.7059
c000556,0.0,36.796745617,-97.76447775700001
c000559,0.0,37.1521497,-101.189216
c000561,0.0,31.269973999999998,-101.157558
c000562,0.0,31.238715999999997,-102.95124
c000563,0.0,34.522110999999995,-97.580073
c000569,0.0,32.354369,-102.055673
c000574,0.0,35.972809999999996,-107.1144
c000584,0.0,31.521434000000003,-102.64912029999999
c000587,0.0,31.5278994,-102.95220529999999
c000591,0.0,36.1926,-97.2221
c000592,0.0,32.950024,-102.29827900000001
c000594,0.0,31.469946000000004,-103.51063
c000600,0.0,36.232206299999994,-97.800614
c000609,0.0,34.3694444444444,-96.0641666666667
c000610,0.0,28.044508,-99.49000799999999
c000611,0.0,26.442079999999997,-98.52179
c000612,0.0,35.986351553,-99.125481566
c000613,0.0,32.125064,-102.73485600000001
c000618,0.0,31.4574,-101.26100000000001
c000619,0.0,32.41281,-102.77490999999999
c000623,0.0,35.34901,-101.295893
c000626,0.0,28.835016999999997,-99.299412
c000631,0.0,31.507158,-102.798959
c000637,0.0,33.4726,-103.180875
c000641,0.0,33.09863,-97.47487
c000642,0.0,32.362744899999996,-101.82632509999999
c000644,0.0,40.9092,-79.486549
c000647,0.0,32.1524959,-103.7316122
c000652,0.0,31.565340000000003,-103.3913
c000658,0.0,32.2197505,-94.7821502
c000663,0.0,35.864329999999995,-100.24070999999999
c000664,0.0,31.59252,-101.60668000000001
c000668,0.0,47.1535777777778,-102.775905555556
c000672,0.0,43.092052,-105.072946
c000673,0.0,30.9898,-103.4721
c000690,0.0,32.502410999999995,-101.87557
c000695,0.0,32.088803000000006,-102.176141
c000699,0.0,32.1871027777778,-102.189586111111
c000706,0.0,31.455319,-102.394936
c000710,0.0,32.418681,-101.777712
c000713,0.0,32.45023,-102.79173
c000715,0.0,33.08005,-98.04847
c000720,0.0,36.545429999999996,-100.83063
c000727,0.0,27.9333,-99.602
c000729,0.0,35.726022141,-98.097012191
c000747,0.0,36.08698056,-97.29875278
c000751,0.0,31.39048,-102.06269
